4/9/2020 3:41:30 PM (6)  - Error - Incorrect Format for circle: Additional text encountered after finished reading JSON content: ,. Path '', line 1, position 0.
4/9/2020 3:41:30 PM (11)  - Infor - Logged: player_0,0 <0, 0>
4/9/2020 3:41:30 PM (11)  - Infor - Logged: player_0,1000 <0, 1000>
4/9/2020 3:41:30 PM (11)  - Infor - Logged: player_0,2000 <0, 2000>
4/9/2020 3:41:30 PM (11)  - Infor - Logged: player_0,3000 <0, 3000>
4/9/2020 3:41:30 PM (11)  - Infor - Logged: player_0,4000 <0, 4000>
4/9/2020 3:41:30 PM (11)  - Infor - Logged: player_0,5000 <0, 5000>
4/9/2020 3:41:30 PM (11)  - Infor - Logged: player_1000,0 <1000, 0>
4/9/2020 3:41:30 PM (11)  - Infor - Logged: player_1000,1000 <1000, 1000>
4/9/2020 3:41:30 PM (11)  - Infor - Logged: player_1000,2000 <1000, 2000>
4/9/2020 3:41:30 PM (11)  - Infor - Logged: player_1000,3000 <1000, 3000>
4/9/2020 3:41:30 PM (11)  - Infor - Logged: player_1000,4000 <1000, 4000>
4/9/2020 3:41:30 PM (11)  - Infor - Logged: player_1000,5000 <1000, 5000>
4/9/2020 3:41:30 PM (11)  - Infor - Logged: player_2000,0 <2000, 0>
4/9/2020 3:41:30 PM (11)  - Infor - Logged: player_2000,1000 <2000, 1000>
4/9/2020 3:41:30 PM (11)  - Infor - Logged: player_2000,2000 <2000, 2000>
4/9/2020 3:41:30 PM (11)  - Infor - Logged: player_2000,3000 <2000, 3000>
4/9/2020 3:41:30 PM (11)  - Infor - Logged: player_2000,4000 <2000, 4000>
4/9/2020 3:41:30 PM (11)  - Infor - Logged: player_2000,5000 <2000, 5000>
4/9/2020 3:41:30 PM (11)  - Infor - Logged: player_3000,0 <3000, 0>
4/9/2020 3:41:30 PM (11)  - Infor - Logged: player_3000,1000 <3000, 1000>
4/9/2020 3:41:30 PM (11)  - Infor - Logged: player_3000,2000 <3000, 2000>
